"outcome","uacr","HR","lo","hi"
"death_allcause",14.7382164726548,1.14340394217395,1.09861806721479,1.19001554224698
"death_allcause",14.898565822877,1.14726644543102,1.1014675388982,1.19496966576841
"death_allcause",15.0606597474285,1.15112105507655,1.10432183157925,1.19990354763302
"death_allcause",15.2245172269885,1.15496775968968,1.10718089268693,1.20481714842941
"death_allcause",15.3901574487429,1.15880654979894,1.1100446681272,1.2097104363579
"death_allcause",15.557599808631,1.16263741788303,1.11291310225422,1.21458338725978
"death_allcause",15.7268639136168,1.16646035837145,1.11578613784136,1.21943598464522
"death_allcause",15.8979695839848,1.17027536764491,1.11866371605212,1.22426821971995
"death_allcause",16.0709368556608,1.17408244403559,1.12154577641098,1.22908009141078
"death_allcause",16.2457859825581,1.17788158782722,1.12443225677412,1.23387160638978
"death_allcause",16.4225374389494,1.18167280125498,1.12732309330019,1.23864277909719
"death_allcause",16.6012119218641,1.18545608850526,1.13021822042106,1.24339363176312
"death_allcause",16.7818303535116,1.1892314557152,1.13311757081262,1.24812419442781
"death_allcause",16.9644138837317,1.19299891097216,1.13602107536575,1.2528345049607
"death_allcause",17.1489838924709,1.19675846431293,1.13892866315733,1.25752460907799
"death_allcause",17.3355619922858,1.20051012772284,1.14184026142157,1.26219456035892
"death_allcause",17.5241700308743,1.20425391513477,1.14475579552151,1.26684442026061
"death_allcause",17.7148300936335,1.20798984242788,1.14767518892088,1.27147425813134
"death_allcause",17.9075645062459,1.21171792742635,1.15059836315638,1.27608415122251
"death_allcause",18.1023958372937,1.21543818989787,1.15352523781026,1.28067418469887
"death_allcause",18.2993469009018,1.21915065155205,1.1564557304836,1.28524445164731
"death_allcause",18.4984407594087,1.22285533603865,1.15938975677006,1.28979505308392
"death_allcause",18.6997007260675,1.22655226894576,1.16232723023031,1.29432609795944
"death_allcause",18.9031503677754,1.2302414777978,1.16526806236728,1.29883770316283
"death_allcause",19.1088135078337,1.23392299205337,1.16821216260214,1.30332999352318
"death_allcause",19.3167142287374,1.23759684310307,1.17115943825129,1.30780310180965
"death_allcause",19.5268768749947,1.24126306426714,1.17410979450439,1.31225716872946
"death_allcause",19.7393260559783,1.24492169079301,1.17706313440341,1.31669234292385
"death_allcause",19.9540866488067,1.24857275985273,1.18001935882303,1.32110878096202
"death_allcause",20.1711838012574,1.25221631054037,1.18297836645233,1.3255066473327
"death_allcause",20.3906429347112,1.25585238386919,1.18594005377794,1.32988611443362
"death_allcause",20.6124897471299,1.25948102276885,1.18890431506878,1.33424736255844
"death_allcause",20.8367502160643,1.26310227208245,1.19187104236253,1.33859057988134
"death_allcause",21.063450601697,1.26671617856348,1.19484012545389,1.34291596243886
"death_allcause",21.2926174499169,1.27032279087279,1.19781145188483,1.34722371410921
"death_allcause",21.5242775954276,1.2739221595753,1.20078490693704,1.35151404658861
"death_allcause",21.7584581648903,1.27751433713685,1.2037603736265,1.35578717936481
"death_allcause",21.9951865800992,1.28109937792077,1.20673773270058,1.36004333968747
"death_allcause",22.2344905611935,1.28467733818456,1.20971686263768,1.36428276253538
"death_allcause",22.4763981299027,1.28824827607639,1.21269763964957,1.36850569058034
"death_allcause",22.7209376128281,1.29181225163159,1.21567993768669,1.37271237414758
"death_allcause",22.9681376447598,1.29536932676908,1.21866362844642,1.37690307117256
"death_allcause",23.2180271720296,1.29891956528774,1.22164858138474,1.381078047154
"death_allcause",23.4706354559007,1.30246303286276,1.22463466373115,1.38523757510304
"death_allcause",23.7259920759937,1.3059997970419,1.22762174050727,1.38938193548827
"death_allcause",23.9841269337509,1.30952992724173,1.23060967454924,1.39351141617659
